"#define STRING_shop_recipe                      ""%s(을)를 오픈해야 이 레시피를 구매할 수 있어요."""
"#define STRING_not_have_recipe                  ""%s를 오픈해야 구매할 수 있어요."""
"#define STRING_shop_costume                     ""%s(을)를 오픈해야 이 옷을 입을 수 있어요."""
"#define STRING_recipe_buy_warning               ""레시피를 구매하면 더 많은 돈을 벌 수 있어요."""
"#define STRING_shop_shop                        ""%s(을)를 완료해야 골드로 다음 가게를 열 수 있어요."""
"#define STRING_sell_count                       ""판매 갯수"""
"#define STRING_item_stage_notuse                ""%s(은)는 분식점 %d스테이지를 클리어한 후 사용하실 수 있습니다."""
"#define STRING_item_stage_use                   ""%s를 사용하실 수 있습니다. %s을 장착해 보세요."""
"#define STRING_clear_all_stage                  ""축하합니다! %s의 모든 스테이지를 클리어하셨습니다. %s(을)를 오픈할 수 있어요!"""
"#define STRING_clear_all_shop                   ""와~ 축하합니다! 모든 가게를 클리어하셨습니다. 다음가게를 준비중이니 기대해 주세요~~"""
"#define STRING_recipe_buy_warning2              ""손님들이 찾는 음식이 있어요. 샵에 가서 레시피를 구매하세요."""
"#define STRING_awards_shop_explain              ""스테이지 퍼펙트를 10번 완료하면 보상을 받을 수 있어요."""
"#define STRING_awards_character_explain         ""단골손님을 잘 관리해야 팁을 많이 받을 수 있어요."""
"#define STRING_awards_recipe_0                  ""%s의 레시피를 모두 보유"""
"#define STRING_awards_recipe_1                  ""%s의 커스튬(%s)을 모두 보유"""
"#define STRING_awards_rank_thropy_0             ""1주일 연속 1위"""
"#define STRING_awards_rank_thropy_1             ""10회 연속 1위"""
"#define STRING_awards_rank_thropy_2             ""급성장 1위(하루안에 친구 10명을 추월해서 1위)"""
"#define STRING_awards_rank_thropy_3             ""단기간 급하락(하루안에 친구 10명에게 추월당함)"""
"#define STRING_awards_rank_stamp_0              ""10,000골드 보유"""
"#define STRING_awards_rank_stamp_1              ""100,000골드 보유"""
"#define STRING_awards_rank_stamp_2              ""1,000,000골드 보유"""
"#define STRING_awards_word_complete_notyet      ""해야 얻을 수 있어요."""
"#define STRING_awards_word_complete             ""했어요."""
#define STRING_awards_complete_service_first 축하합니다. %s손님이 단골이 되었어요. 마이룸>업적에서 확인해보세요.
"#define STRING_awards_complete_service          ""축하합니다. %s손님 도장 받을 수 있어요. 마이룸>업적에서 확인해보세요."""
"#define STRING_awards_complete_rank             ""축하합니다. %s 했어요. 마이룸>업적에서 확인해보세요."""
"#define STRING_awards_complete_shop             ""축하합니다. %s 도장 하나 받을 수 있어요. 마이룸>업적에서 확인해보세요."""
"#define STRING_awards_complete_recipe           ""축하합니다. %s 레시피 마스터 우표를 받을 수 있어요. 마이룸>업적에서 확인해보세요."""
"#define STRING_awards_complete_costume          ""축하합니다. %s 코스튬 마스터 카드를 받을 수 있어요. 마이룸>업적에서 확인해보세요."""
"#define STRING_game_result_earn                 ""매출"""
"#define STRING_game_result_tip                  ""팁"""
"#define STRING_game_result_questbonus           ""퀘스트 보너스"""
"#define STRING_game_result_lastbonus            ""라스트 보너스"""
"#define STRING_game_result_cashier              ""직원 팁"""
"#define STRING_game_result_totalgold            ""총 수익"""
"#define STRING_game_result_heartbonus           ""보너스"""
"#define STRING_game_result_quest_failed         ""실패"""
"#define STRING_s_recipe                         ""의 레시피"""
"#define STRING_rewarded                         ""를 받았어요."""
"#define STRING_count                            ""개"""
"#define STRING_tip_01                           ""적절한 퍼즐 아이템과 슬롯 아이템의 사용으로 게임의 효율성을 높일수 있어요!"""
"#define STRING_tip_02                           ""때와 장소에 맞는 복장은 장사에 도움이 되지요!"""
"#define STRING_tip_03                           ""레시피를 다양하게 구매하면 매상을 더 올릴 수 있어요!"""
"#define STRING_tip_04                           ""사이드 메뉴를 끼워 팔아 추가 이익을 얻어요!"""
"#define STRING_tip_05                           ""블럭 아이템을 더블 탭 하면 가장 효율적인 곳에 사용돼요!"""
"#define STRING_tip_06                           ""손님의 남은 하트 수가 많은 상태에서 음식이 나오면 추가수익을 얻을 수 있어요!"""
"#define STRING_tip_07                           ""스테이지별 최고 점수를 달성해서 스테이지별 기록도 남기고 랭킹 점수도 올려보세요."""
"#define STRING_tip_08                           ""유리한 스테이지에 계속 도전해서 골드도 모으고 높은 랭킹도 노려보아요~!"""
"#define STRING_tip_09                           ""판매 연속 콤보를 3번 달성하면 선택한 손님의 기분을 가득 채워주는 캔디 아이템이 등장해요!"""
"#define STRING_tip_10                           ""판매 연속 콤보를 5번 달성하면 선택한 음식의 판매가격을 1.5배 올려주는 MSG 아이템이 등장해요!"""
"#define STRING_tip_11                           ""다양한 업적을 달성해서 아이템을 보상받으세요!"""
"#define STRING_tip_12                           ""가게별 레시피를 모두 모으면 실속있는 시크릿 레시피를 살 수 있어요!"""
"#define STRING_tip_13                           ""친구끼리 아이템을 선물해서 도와가며 가게를 운영해요!"""
"#define STRING_tip_14                           ""매일 출석체크를 하면 다양한 선물을 드려요!"""
"#define STRING_tip_15                           ""친구를 초대하면 다양한 선물을 받을 수 있어요!"""
"#define STRING_tip_16                           ""슬롯 아이템 중 시계 아이템은 한 스테이지당 3번 까지만 사용할 수 있어요!"""
"#define STRING_tip_17                           ""각 스테이지별 판매 목표매상과 퀘스트를 둘다 달성해야만 클리어 할 수 있어요!"""
"#define STRING_tip_18                           ""스테이지모드의 결과창에서 얻은 별을 모아 크레이지 모드를 열수있어요!"""
"#define STRING_tip_19                           ""상위 레시피를 구입하면 크레이지모드에서 더 좋은 점수를 낼 수 있어요!"""
"#define STRING_tip_20                           ""친구들에게 개스트를 보내어 서로 골 달성을 도와요!"""
"#define STRING_tip_21                           ""푸들캐셔를 승진시키면 더 많은 일을 도와줘요!"""
"#define STRING_tip_22                           ""룰렛에서 레어 아이템을 얻을수 있어요!"""
"#define STRING_tip_23                           ""시작 전 세팅메뉴에서 사이드메뉴를 업그레이드 하면 더 많은 돈을 벌 수 있어요."""
"#define STRING_present_explain                  ""매일 매일 출석 해서\\ 다양한 선물을 받으세요~"""
"#define STRING_present_receive                  ""가 지급 되었어요."""
"#define STRING_random_box                       ""랜덤상자"""
"#define STRING_POPUP_OK                         ""확인"""
"#define STRING_POPUP_YES                        ""예"""
"#define STRING_POPUP_NO                         ""아니오"""
"#define STRING_POPUP_LATER                      ""나중에"""
"#define STRING_POPUP_SHOP                       ""사러가기"""
"#define STRING_POPUP_BUY                        ""바로구매"""
"#define STRING_POPUP_DONE                       ""확인"""
"#define STRING_POPUP_OPEN                       ""오픈하기"""
"#define STRING_POPUP_INVITE                     ""친구초대"""
"#define STRING_POPUP_UPDATE                     ""업데이트"""
"#define STRING_POPUP_EXIT                       ""게임종료"""
"#define STRING_POPUP_DIRECTOPEN                 ""바로열기"""
